GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000160072	1	1407143	1433228	32	9	63052	2.7539	0.0029445	ATAD3B
ENSG00000197785	1	1447531	1470067	64	12	63569	2.7471	0.0030064	ATAD3A
ENSG00000205090	1	1470554	1475833	9	3	68453	2.2962	0.010833	TMEM240
ENSG00000160075	1	1477053	1510249	94	11	66926	2.3042	0.010606	SSU72
ENSG00000215014	1	1510355	1511373	3	1	73140	1.18	0.11899	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	70681	-1.8211	0.9657	C1orf233
ENSG00000197530	1	1550795	1565990	37	8	69385	1.965	0.02471	MIB2
ENSG00000248333	1	1570603	1590473	18	3	70523	1.1504	0.12499	CDK11B
ENSG00000189339	1	1592939	1624167	54	11	70236	1.2351	0.10839	SLC35E2B
ENSG00000008128	1	1634169	1655766	39	3	72103	1.9191	0.027486	CDK11A
ENSG00000215790	1	1656277	1677431	29	6	70926	0.54173	0.294	SLC35E2
ENSG00000008130	1	1682671	1711896	69	9	71103	1.372	0.085036	NADK
ENSG00000078369	1	1716729	1822495	145	19	69181	2.2027	0.013808	GNB1
ENSG00000169885	1	1846266	1848735	11	3	72723	2.104	0.017688	CALML6
ENSG00000178821	1	1849029	1850712	6	2	72581	0.80617	0.21007	TMEM52
ENSG00000142609	1	1853396	1935276	310	24	72218	3.0881	0.0010072	C1orf222
ENSG00000187730	1	1950780	1962192	29	7	68394	1.1508	0.12491	GABRD
ENSG00000067606	1	1981909	2116834	384	28	69562	3.0618	0.0011001	PRKCZ
ENSG00000162585	1	2115903	2144159	47	9	68752	2.8834	0.0019671	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	67573	3.1565	0.00079832	AL590822.2
ENSG00000203301	1	2143360	2145620	5	2	73101	2.0809	0.018722	AL590822.1
ENSG00000157933	1	2160134	2241558	226	39	70299	1.8966	0.028943	SKI
ENSG00000116151	1	2252692	2323146	289	33	70043	0.64583	0.2592	MORN1
ENSG00000157916	1	2323267	2336883	34	10	70637	1.318	0.093753	RER1
ENSG00000157911	1	2336236	2345236	26	8	70022	0.39166	0.34765	PEX10
ENSG00000149527	1	2357419	2436969	253	34	69839	6.7206	9.0495e-12	PLCH2
ENSG00000157881	1	2439972	2458039	39	5	70209	1.8851	0.029709	PANK4
ENSG00000197921	1	2460184	2461684	3	2	58663	0.048599	0.48062	HES5
ENSG00000157873	1	2487078	2496821	23	5	67353	0.7768	0.21864	TNFRSF14
ENSG00000157870	1	2517930	2522908	10	4	67730	2.1651	0.015192	FAM213B
ENSG00000142606	1	2522078	2564481	149	9	67851	2.4065	0.0080533	MMEL1
ENSG00000215912	1	2567415	2718286	114	12	64113	1.6088	0.053828	TTC34
ENSG00000169717	1	2938046	2939465	3	1	73173	0.18246	0.42761	ACTRT2
ENSG00000142611	1	2985732	3355185	1380	160	69443	3.5844	0.00016891	PRDM16
ENSG00000130762	1	3370990	3397677	95	12	68286	-0.37135	0.64481	ARHGEF16
ENSG00000162591	1	3406484	3528059	499	77	69636	-0.3522	0.63766	MEGF6
ENSG00000158109	1	3541566	3546691	12	4	68594	0.21066	0.41657	TPRG1L
ENSG00000116213	1	3547331	3569325	37	9	67591	1.442	0.074651	WRAP73
ENSG00000078900	1	3569084	3652765	299	48	71191	-0.77934	0.78211	TP73
ENSG00000162592	1	3668962	3688209	66	14	69584	-0.34469	0.63483	CCDC27
ENSG00000235169	1	3689352	3692546	12	5	68771	1.3383	0.090393	SMIM1
ENSG00000130764	1	3696784	3713068	80	15	67773	0.99549	0.15975	LRRC47
ENSG00000116198	1	3728645	3773778	288	17	69620	1.4473	0.073907	CEP104
ENSG00000169598	1	3773845	3801993	165	22	70464	-0.34212	0.63387	DFFB
ENSG00000198912	1	3805689	3816857	45	8	67123	2.4079	0.0080231	C1orf174
ENSG00000196581	1	4714792	4852594	668	80	69730	1.1154	0.13234	AJAP1
ENSG00000131697	1	5922871	6052533	390	21	69118	0.96406	0.16751	NPHP4
ENSG00000069424	1	6051526	6161253	309	42	68201	1.1276	0.12974	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	62834	-1.1303	0.87083	AL035406.1
ENSG00000116254	1	6161853	6240183	267	28	71029	0.25428	0.39964	CHD5
ENSG00000116251	1	6241329	6269449	66	12	70846	0.72578	0.23399	RPL22
ENSG00000158286	1	6265535	6281359	37	5	69539	0.16568	0.43421	RNF207
ENSG00000116237	1	6281253	6296032	29	5	68892	-0.62883	0.73527	ICMT
ENSG00000173673	1	6304252	6305638	3	1	73173	-0.30523	0.61991	HES3
ENSG00000158292	1	6307406	6321035	36	3	69285	-0.63167	0.7362	GPR153
ENSG00000097021	1	6324329	6454451	417	25	67216	-0.031463	0.51255	ACOT7
ENSG00000069812	1	6472478	6484730	40	8	67239	0.55825	0.28834	HES2
ENSG00000187017	1	6484848	6521430	106	12	65976	0.96577	0.16708	ESPN
ENSG00000215788	1	6521211	6526255	13	5	65458	2.3083	0.010493	TNFRSF25
ENSG00000171680	1	6526152	6580121	136	23	68458	2.6926	0.0035453	PLEKHG5
ENSG00000162408	1	6581407	6614595	98	3	71766	0.47276	0.31819	NOL9
ENSG00000173662	1	6615241	6639817	51	8	66025	2.1291	0.016624	TAS1R1
ENSG00000204859	1	6640061	6649340	10	4	67675	3.5462	0.00019545	ZBTB48
ENSG00000162413	1	6650784	6674667	43	9	69066	4.221	1.216e-05	KLHL21
ENSG00000116273	1	6673745	6684093	18	4	72324	4.1719	1.5104e-05	PHF13
ENSG00000041988	1	6684926	6695646	31	6	68334	4.5817	2.3065e-06	THAP3
ENSG00000007923	1	6694228	6761984	137	15	68998	4.9758	3.2482e-07	DNAJC11
ENSG00000171735	1	6845384	7829766	2662	203	68811	1.7593	0.039261	CAMTA1
ENSG00000049245	1	7831329	7841492	35	9	69391	1.4798	0.069467	VAMP3
ENSG00000049246	1	7844380	7905237	213	25	68773	1.0534	0.14609	PER3
ENSG00000049247	1	7903143	7913572	40	12	68327	0.37812	0.35267	UTS2
ENSG00000049249	1	7979907	8000926	43	6	69046	0.14113	0.44388	TNFRSF9
ENSG00000116288	1	8014351	8045565	59	9	66629	-0.11806	0.54699	PARK7
ENSG00000116285	1	8064464	8086368	29	5	67420	-0.20574	0.5815	ERRFI1
ENSG00000162426	1	8377886	8404227	80	12	70213	5.6052	1.0403e-08	SLC45A1
ENSG00000142599	1	8412457	8877702	675	24	68413	5.0347	2.393e-07	RERE
ENSG00000074800	1	8921061	8939308	25	5	68669	1.8114	0.035036	ENO1
ENSG00000131686	1	9005926	9035151	122	25	69099	-0.64191	0.73953	CA6
ENSG00000197241	1	9063359	9086404	71	19	70429	-0.15528	0.5617	SLC2A7
ENSG00000142583	1	9095166	9148537	170	23	70868	-0.63972	0.73882	SLC2A5
ENSG00000180758	1	9160364	9189229	71	10	69389	1.4582	0.07239	GPR157
ENSG00000049239	1	9294834	9331396	98	17	70081	-0.20965	0.58303	H6PD
ENSG00000171621	1	9352939	9429591	317	46	69266	0.5269	0.29913	SPSB1
ENSG00000171612	1	9599541	9645237	57	8	67680	0.029025	0.48842	SLC25A33
ENSG00000188807	1	9648932	9674935	36	6	67925	-0.69585	0.75674	TMEM201
ENSG00000171608	1	9711790	9789172	130	25	68994	0.50415	0.30708	PIK3CD
ENSG00000179840	1	9712668	9714644	4	1	73173	0.79631	0.21293	C1orf200
ENSG00000171603	1	9789084	9884584	119	14	67026	0.80166	0.21138	CLSTN1
ENSG00000178585	1	9908334	9970394	65	11	66227	-1.3722	0.915	CTNNBIP1
ENSG00000162441	1	9982173	10003465	38	7	70128	-1.2181	0.88841	LZIC
ENSG00000173614	1	10003486	10045559	77	11	66681	-0.048282	0.51925	NMNAT1
ENSG00000162444	1	10057264	10076078	36	4	64552	0.5297	0.29816	RBP7
ENSG00000130939	1	10092890	10241297	287	16	61775	0.32567	0.37234	UBE4B
ENSG00000054523	1	10270863	10441661	521	15	65080	1.8615	0.031339	KIF1B
ENSG00000142657	1	10458649	10480201	49	7	68961	1.7795	0.03758	PGD
ENSG00000251503	1	10490159	10512210	52	7	70347	-0.16289	0.5647	APITD1-CORT
ENSG00000175279	1	10490159	10512210	52	7	70347	-0.16289	0.5647	APITD1
ENSG00000241563	1	10509776	10511959	4	2	69281	0.70119	0.24159	CORT
ENSG00000160049	1	10516579	10532583	14	3	73091	0.8687	0.19251	DFFA
ENSG00000142655	1	10532345	10690815	358	25	69363	-0.34037	0.63321	PEX14
ENSG00000130940	1	10696661	10856707	444	81	68056	0.21583	0.41456	CASZ1
ENSG00000175262	1	11006528	11042094	123	16	69779	-0.86625	0.80682	C1orf127
ENSG00000120948	1	11072414	11085796	21	4	71872	2.6323	0.0042403	TARDBP
ENSG00000009724	1	11086580	11107290	55	8	69806	1.627	0.051871	MASP2
ENSG00000116649	1	11114641	11120081	7	2	70562	0.86735	0.19287	SRM
ENSG00000171824	1	11126675	11159938	92	6	71419	-0.2932	0.61532	EXOSC10
ENSG00000198793	1	11166592	11322564	319	9	71369	0.27147	0.39302	MTOR
ENSG00000171819	1	11249398	11256038	13	2	72692	0.71681	0.23675	ANGPTL7
ENSG00000120942	1	11333263	11356106	33	4	67656	-0.2938	0.61554	UBIAD1
ENSG00000204624	1	11539223	11597641	146	14	70972	2.266	0.011726	PTCHD2
ENSG00000116661	1	11708424	11715842	22	12	69666	0.13411	0.44666	FBXO2
ENSG00000132879	1	11714432	11723384	23	7	70570	1.0611	0.14431	FBXO44
ENSG00000116663	1	11724181	11734411	30	8	70282	-0.21597	0.58549	FBXO6
ENSG00000116670	1	11734537	11751707	66	13	70266	-0.13692	0.55445	MAD2L2
ENSG00000162490	1	11751786	11785914	95	18	71868	1.4048	0.080035	DRAXIN
ENSG00000177674	1	11796141	11814859	58	9	71119	0.62208	0.26694	AGTRAP
ENSG00000215910	1	11821844	11849642	154	12	71148	1.1771	0.11958	C1orf167
ENSG00000177000	1	11845780	11866977	79	11	68547	0.95927	0.16871	MTHFR
ENSG00000011021	1	11866207	11903201	185	14	67033	1.0056	0.15731	CLCN6
ENSG00000175206	1	11905766	11908402	12	4	63130	0.77626	0.2188	NPPA
ENSG00000116685	1	11979648	11986485	21	6	70101	0.45913	0.32307	KIAA2013
ENSG00000083444	1	11994262	12035595	109	11	70992	0.57767	0.28174	PLOD1
ENSG00000116688	1	12040238	12073571	73	8	71339	0.76298	0.22274	MFN2
ENSG00000116691	1	12079523	12092102	22	5	71074	-0.41867	0.66227	MIIP
ENSG00000120949	1	12123434	12204264	212	40	70574	1.8373	0.033086	TNFRSF8
ENSG00000028137	1	12227060	12269285	124	16	70600	-0.63568	0.73751	TNFRSF1B
ENSG00000048707	1	12290124	12572099	379	30	63381	0.46601	0.3206	VPS13D
ENSG00000162496	1	12627939	12677737	169	31	70759	0.48012	0.31557	DHRS3
ENSG00000204518	1	12704566	12727097	56	6	68355	1.4645	0.071525	AADACL4
ENSG00000188984	1	12776118	12788726	45	7	71003	1.7788	0.037636	AADACL3
ENSG00000157330	1	12806163	12823847	53	11	66287	1.8878	0.029524	C1orf158
ENSG00000116726	1	12834984	12838049	7	2	70128	1.4479	0.073822	PRAMEF12
ENSG00000116721	1	12851546	12856777	7	3	70291	0.12471	0.45038	PRAMEF1
ENSG00000204513	1	12884468	12891264	12	3	72696	-1.0607	0.8556	PRAMEF11
ENSG00000179172	1	12907261	12908578	3	1	72612	1.0583	0.14496	HNRNPCL1
ENSG00000120952	1	12916941	12921764	21	4	72727	1.6096	0.053748	PRAMEF2
ENSG00000243073	1	12939045	12946025	2	1	71901	0.096202	0.46168	PRAMEF4
ENSG00000232423	1	12998181	13117751	1	1	73173	0.33371	0.3693	PRAMEF6
ENSG00000204491	1	13474689	13477522	1	1	73173	1.727	0.04208	PRAMEF18
ENSG00000162494	1	13801445	13840543	171	35	71570	1.5514	0.060405	LRRC38
ENSG00000162493	1	13909960	13944452	100	23	72281	1.65	0.049473	PDPN
ENSG00000116731	1	14026693	14151574	363	27	67557	1.2458	0.10642	PRDM2
ENSG00000189337	1	14925200	15444539	1857	185	70020	2.6777	0.0037069	KAZN
ENSG00000171729	1	15479028	15546976	349	26	70725	-1.3557	0.9124	TMEM51
ENSG00000204464	1	15490840	15497813	26	7	69937	-0.97695	0.8357	C1orf195
ENSG00000142621	1	15573768	15726779	447	54	68479	1.3268	0.09229	FHAD1
ENSG00000142634	1	15736391	15756839	59	17	65833	1.3677	0.085698	EFHD2
ENSG00000162438	1	15764935	15775737	23	7	66940	0.54403	0.29321	CTRC
ENSG00000142615	1	15783223	15798586	56	8	71068	-0.68411	0.75305	CELA2A
ENSG00000215704	1	15792404	15817895	74	12	68453	0.36145	0.35888	CELA2B
ENSG00000132906	1	15817327	15853029	124	8	70356	-0.18485	0.57333	CASP9
ENSG00000116138	1	15853308	15918874	196	13	70122	-0.37518	0.64624	DNAJC16
ENSG00000116771	1	15898848	15911605	47	6	69690	-0.46702	0.67976	AGMAT
ENSG00000197312	1	15943995	15995539	105	6	69723	0.51654	0.30274	DDI2
ENSG00000215695	1	15986364	15988217	3	2	62371	-0.018492	0.50738	RSC1A1
ENSG00000116786	1	16010827	16061264	141	12	67357	0.42935	0.33383	PLEKHM2
ENSG00000162461	1	16062900	16067891	6	3	70422	1.2377	0.10792	SLC25A34
ENSG00000162460	1	16068917	16074477	11	3	66179	-0.25402	0.60026	TMEM82
ENSG00000162458	1	16083102	16113089	64	11	69131	-1.0358	0.84985	FBLIM1
ENSG00000065526	1	16174359	16266955	136	16	67594	0.26725	0.39464	SPEN
ENSG00000116809	1	16268364	16302627	49	10	67972	-0.09455	0.53766	ZBTB17
ENSG00000183888	1	16330731	16335302	16	5	66647	-0.56293	0.71326	C1orf64
ENSG00000173641	1	16340523	16346089	47	5	71671	-0.32525	0.6275	HSPB7
ENSG00000186510	1	16345370	16360545	79	12	67163	-0.60627	0.72783	CLCNKA
ENSG00000184908	1	16370272	16383803	103	12	68219	0.12624	0.44977	CLCNKB
ENSG00000185519	1	16384264	16400127	53	7	64903	-0.020079	0.50801	FAM131C
ENSG00000142627	1	16450832	16482582	55	12	70258	0.37065	0.35545	EPHA2
ENSG00000142632	1	16524349	16539104	46	5	69482	0.57767	0.28174	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	68177	0.937	0.17438	C1orf134
ENSG00000132881	1	16558195	16563657	13	5	66810	0.68665	0.24615	RSG1
ENSG00000037637	1	16573334	16678949	219	13	68836	1.5219	0.064019	FBXO42
ENSG00000055070	1	16679070	16724640	97	12	65119	0.7699	0.22068	SZRD1
ENSG00000187144	1	16713612	16763919	126	20	67278	0.1052	0.45811	SPATA21
ENSG00000157191	1	16767167	16786573	40	9	67737	1.3393	0.090241	NECAP2
ENSG00000219481	1	16888814	16940057	5	3	73126	-0.28089	0.6106	NBPF1
ENSG00000058453	1	17066768	17299474	190	23	67717	1.2009	0.11489	CROCC
ENSG00000117122	1	17300997	17307330	14	4	68657	2.1567	0.015514	MFAP2
ENSG00000159363	1	17312453	17338423	51	10	67772	1.6351	0.051019	ATP13A2
ENSG00000117118	1	17345217	17380665	118	12	68836	2.3594	0.0091529	SDHB
ENSG00000117115	1	17393256	17445948	243	16	69822	1.8756	0.030352	PADI2
ENSG00000142623	1	17531621	17572500	163	42	70360	1.83	0.033626	PADI1
ENSG00000142619	1	17575593	17610728	164	23	70272	0.0082099	0.49672	PADI3
ENSG00000159339	1	17634690	17690499	274	24	68517	-0.12907	0.55135	PADI4
ENSG00000269468	1	17655507	17676070	142	12	68761	-0.023225	0.50926	AC004824.2
ENSG00000179051	1	17733256	17766220	69	10	70262	0.79915	0.2121	RCC2
ENSG00000074964	1	17866330	18024369	395	45	68873	1.0255	0.15256	ARHGEF10L
ENSG00000117148	1	18081808	18153558	203	23	70775	0.27894	0.39015	ACTL8
ENSG00000117154	1	18434240	18704977	982	126	69867	1.5025	0.066484	IGSF21
ENSG00000179023	1	18807424	18812478	26	6	71458	1.6177	0.052861	KLHDC7A
ENSG00000009709	1	18957500	19075360	350	58	70289	1.2058	0.11394	PAX7
ENSG00000179002	1	19166093	19186176	98	18	70236	-0.82801	0.79617	TAS1R2
ENSG00000255275	1	19175767	19247615	324	37	68676	-1.4733	0.92966	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	134	18	68129	-0.80448	0.78944	ALDH4A1
ENSG00000169991	1	19230775	19283180	159	29	68904	1.3452	0.089273	IFFO2
ENSG00000127481	1	19401000	19536770	251	21	67889	0.029576	0.4882	UBR4
ENSG00000127463	1	19542158	19578046	102	12	70067	-0.28657	0.61278	EMC1
ENSG00000053372	1	19578033	19586622	51	8	69464	-1.0636	0.85624	MRTO4
ENSG00000162482	1	19609052	19615744	25	4	72112	0.91767	0.1794	AKR7A3
ENSG00000053371	1	19630459	19638640	25	9	67980	0.9499	0.17108	AKR7A2
ENSG00000040487	1	19638820	19655794	79	11	69755	1.0489	0.14712	PQLC2
ENSG00000077549	1	19665267	19812066	507	21	69556	1.3343	0.091055	CAPZB
ENSG00000270136	1	19923473	19984549	163	26	71180	1.0097	0.15632	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	71	12	70880	0.61942	0.26782	MINOS1
ENSG00000158747	1	19967048	19984945	57	16	71611	0.94217	0.17305	NBL1
ENSG00000158748	1	19991780	20006055	37	7	66798	1.5695	0.058262	HTR6
ENSG00000162542	1	20008706	20126438	403	54	68596	-0.62895	0.73531	TMCO4
ENSG00000178828	1	20140523	20141771	6	4	68212	-0.76256	0.77714	RNF186
ENSG00000169914	1	20209006	20239438	72	13	67199	-0.16851	0.56691	OTUD3
ENSG00000188784	1	20246502	20250110	17	5	69648	1.2839	0.099585	PLA2G2E
ENSG00000188257	1	20301925	20306932	13	5	71508	0.23684	0.40639	PLA2G2A
ENSG00000127472	1	20354672	20417683	200	23	69677	-0.024435	0.50975	PLA2G5
ENSG00000117215	1	20438432	20446050	24	9	69918	-1.1118	0.86689	PLA2G2D
ENSG00000158786	1	20465819	20476879	23	10	69578	1.9051	0.028384	PLA2G2F
ENSG00000187980	1	20487746	20503917	52	11	70972	0.69547	0.24338	PLA2G2C
ENSG00000162543	1	20512578	20522541	9	3	69033	-0.28256	0.61124	UBXN10
ENSG00000158816	1	20617412	20681387	233	28	66818	2.2897	0.011019	VWA5B1
ENSG00000162545	1	20808884	20812713	3	2	68896	1.5049	0.066177	CAMK2N1
ENSG00000090432	1	20825943	20834654	25	8	67399	1.7317	0.041667	MUL1
ENSG00000183114	1	20878932	20881512	3	1	73173	3.6211	0.00014667	FAM43B
ENSG00000158825	1	20915441	20945401	116	18	71856	0.37072	0.35542	CDA
ENSG00000158828	1	20959948	20978004	69	9	71335	0.75091	0.22635	PINK1
ENSG00000244038	1	20978270	20988000	26	5	71691	-0.93047	0.82394	DDOST
ENSG00000117245	1	20990507	21044510	205	43	69684	1.8229	0.03416	KIF17
ENSG00000189410	1	21046225	21059330	36	9	68343	2.1316	0.016522	SH2D5
ENSG00000127483	1	21069154	21113816	91	14	65339	2.8702	0.0020509	HP1BP3
ENSG00000075151	1	21132963	21503377	659	23	66927	2.6426	0.0041136	EIF4G3
ENSG00000117298	1	21543740	21671997	330	33	67304	2.3784	0.0086946	ECE1
ENSG00000142794	1	21766621	21811498	129	12	69224	-0.18805	0.57458	NBPF3
ENSG00000162551	1	21835858	21904905	292	27	68657	-1.7573	0.96056	ALPL
ENSG00000076864	1	21922708	21995801	256	35	69313	0.66258	0.2538	RAP1GAP
ENSG00000090686	1	22004791	22110099	322	26	64509	2.764	0.0028552	USP48
ENSG00000187942	1	22138758	22151714	40	15	67229	-0.35527	0.63881	LDLRAD2
ENSG00000142798	1	22148738	22263790	353	33	63671	0.56564	0.28582	HSPG2
ENSG00000219073	1	22303514	22325135	93	15	66023	0.2712	0.39312	CELA3B
ENSG00000142789	1	22328149	22339032	38	9	65625	-1.0639	0.85632	CELA3A
ENSG00000070831	1	22379120	22419437	91	13	63876	1.7974	0.036136	CDC42
ENSG00000162552	1	22443798	22470462	90	16	65395	2.7679	0.0028213	WNT4
ENSG00000184677	1	22778344	22857650	134	15	68722	-0.44827	0.67302	ZBTB40
ENSG00000070886	1	22890057	22930087	143	22	69914	-0.10493	0.54179	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	68640	0.50464	0.30691	C1QA
ENSG00000159189	1	22970123	22974603	20	4	71866	-0.23379	0.59243	C1QC
ENSG00000173369	1	22979255	22988031	25	5	71489	0.2225	0.41196	C1QB
ENSG00000133216	1	23037332	23241818	444	53	70421	2.2416	0.012493	EPHB2
ENSG00000215906	1	23279536	23291831	36	9	69790	-0.60042	0.72589	LACTBL1
ENSG00000227868	1	23337327	23342343	9	3	72060	0.39909	0.34491	C1orf234
ENSG00000004487	1	23345941	23410182	74	9	68055	1.1097	0.13357	KDM1A
ENSG00000169641	1	23410516	23504301	162	19	67505	0.77446	0.21933	LUZP1
ENSG00000179546	1	23516993	23521222	9	2	70800	0.63354	0.26319	HTR1D
ENSG00000125944	1	23630264	23670829	35	6	68324	2.4369	0.007407	HNRNPR
ENSG00000125945	1	23685941	23695935	27	5	71674	2.212	0.013485	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	73173	1.8443	0.03257	C1orf213
ENSG00000204219	1	23707554	23751233	115	18	70426	-0.3396	0.63292	TCEA3
ENSG00000088280	1	23755056	23811061	107	13	68114	-0.298	0.61715	ASAP3
ENSG00000007968	1	23832922	23857712	44	6	70157	0.42308	0.33612	E2F2
ENSG00000117318	1	23884409	23886285	8	3	73173	-0.37715	0.64697	ID3
ENSG00000197880	1	23907985	23967058	108	25	68096	2.0591	0.019744	MDS2
ENSG00000142676	1	24018269	24022915	6	3	62516	-0.36026	0.64067	RPL11
ENSG00000011007	1	24069645	24088549	16	6	68164	1.1154	0.13233	TCEB3
ENSG00000057757	1	24104895	24114722	7	3	66863	1.4232	0.077337	PITHD1
ENSG00000011009	1	24117460	24122029	3	1	68931	2.1029	0.017738	LYPLA2
ENSG00000117308	1	24122089	24127271	1	1	61218	0.21521	0.4148	GALE
ENSG00000117305	1	24128375	24165110	42	4	70921	-0.016935	0.50676	HMGCL
ENSG00000179163	1	24171567	24194784	33	5	69449	0.75942	0.2238	FUCA1
ENSG00000188822	1	24197016	24285549	188	13	71961	0.47464	0.31752	CNR2
ENSG00000189266	1	24285599	24289952	5	2	69844	-1.7683	0.96149	PNRC2
ENSG00000188529	1	24291294	24307417	5	2	67813	-1.6135	0.94668	SRSF10
ENSG00000142661	1	24382525	24438665	178	20	70210	0.43854	0.3305	MYOM3
ENSG00000142677	1	24446261	24469611	64	12	66790	-0.20186	0.57999	IL22RA1
ENSG00000185436	1	24480647	24514449	121	18	67725	0.88104	0.18915	IFNLR1
ENSG00000158055	1	24645812	24690972	91	19	68848	0.58131	0.28051	GRHL3
ENSG00000001460	1	24683489	24743424	151	16	68998	1.4301	0.076337	STPG1
ENSG00000001461	1	24742284	24799466	160	15	70104	1.8192	0.034438	NIPAL3
ENSG00000117602	1	24829387	24867530	109	14	66669	0.89589	0.18515	RCAN3
ENSG00000184454	1	24882602	24935819	215	27	72503	1.487	0.068512	NCMAP
ENSG00000133226	1	24958207	24999758	43	8	66789	2.3042	0.010607	SRRM1
ENSG00000169504	1	25071848	25170815	88	10	68661	0.55179	0.29055	CLIC4
ENSG00000020633	1	25226002	25291612	130	26	69494	0.099127	0.46052	RUNX3
ENSG00000117614	1	25549170	25558993	6	4	58646	0.74565	0.22794	SYF2
ENSG00000117616	1	25568728	25664704	51	14	70281	1.4913	0.067939	C1orf63
ENSG00000187010	1	25598884	25656936	25	7	71098	1.406	0.079869	RHD
ENSG00000183726	1	25664408	25688852	27	7	67455	0.22029	0.41282	TMEM50A
ENSG00000188672	1	25688740	25756683	73	5	71471	-0.012353	0.50493	RHCE
ENSG00000204178	1	25757388	25826700	100	4	71652	-0.12736	0.55067	TMEM57
ENSG00000157978	1	25870071	25895377	74	11	70274	-0.41519	0.661	LDLRAP1
ENSG00000117643	1	25943959	26112698	276	23	67615	0.37671	0.3532	MAN1C1
ENSG00000162430	1	26126667	26144713	43	5	70945	-0.41082	0.6594	SEPN1
ENSG00000255054	1	26137961	26150235	32	4	70305	-0.35899	0.6402	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	33	3	70805	-0.40619	0.6577	MTFR1L
ENSG00000223474	1	26145212	26147288	7	3	71675	-0.20505	0.58123	AL020996.1
ENSG00000127423	1	26158414	26185903	62	3	71584	-0.26318	0.6038	AUNIP
ENSG00000182749	1	26187701	26197744	7	2	67927	0.99628	0.15956	PAQR7
ENSG00000117632	1	26210672	26233482	28	5	69385	1.5795	0.057116	STMN1
ENSG00000158006	1	26286258	26324648	85	7	70126	0.64216	0.26038	PAFAH2
